region,taxa_clean,n
Mackay,rhizosolenia spp,95
Mackay,chaetoceros spp,89
Mackay,thalassionema nitzschioides,73
Mackay,bacteriastrum hyalinum,64
Mackay,odontella sinensis,58
Mackay,bacteriastrum delicatulum,56
Mackay,guinardia sp,50
Mackay,chlamydomonas sp,46
Mackay,trichodesmium spp,46
Bowen,rhizosolenia spp,44
Mackay,hillea sp,44
Bowen,chaetoceros spp,41
Mackay,pleurosigma sp,36
Mackay,trichodesmium sp,35
Bowen,bacteriastrum hyalinum,33
Mackay,bacteriastrum furcatum,33
Mackay,azpeitia spp,32
Mackay,thalassionema frauenfeldii,32
Weipa,chaetoceros spp,31
Bowen,guinardia sp,29
Bowen,thalassionema nitzschioides,29
Mackay,ditylum sp,29
Mackay,odontella aurita,29
Bowen,trichodesmium spp,28
Weipa,rhizosolenia spp,28
Mackay,navicula spp,25
Weipa,azpeitia spp,25
Mackay,guinardia spp,24
Weipa,odontella sinensis,24
Weipa,thalassionema nitzschioides,23
Bowen,hillea sp,21
Bowen,pleurosigma sp,21
Mackay,azpeitia sp,21
Weipa,dinophysis caudata,21
Weipa,bacteriastrum hyalinum,20
Bowen,odontella sinensis,19
Mackay,gambierdiscus spp,19
Bowen,bacteriastrum delicatulum,18
Mackay,odontella mobiliensis,18
Weipa,thalassionema frauenfeldii,18
Mackay,micromonas pusilla,16
Mackay,skeletonema spp,16
Weipa,guinardia spp,16
Weipa,hillea sp,16
Bowen,chlamydomonas sp,15
Mackay,bacillaria sp,15
Weipa,bacteriastrum delicatulum,15
Weipa,chlamydomonas sp,15
Weipa,pleurosigma sp,15
Bowen,azpeitia spp,13
Bowen,dinophysis caudata,13
Bowen,ditylum sp,13
Mackay,chaetoceros peruvianus,13
Mackay,chlamydomonas spp,13
Mackay,eucampia sp,13
Mackay,eucampia spp,13
Mackay,pleurosigma spp,13
Mackay,pseudo-nitzschia sp,13
Weipa,odontella aurita,13
Bowen,chlamydomonas spp,12
Bowen,trichodesmium sp,12
Mackay,navicula sp,12
Weipa,trichodesmium spp,12
Bowen,eucampia sp,11
Bowen,phormidium sp,11
Mackay,phormidium sp,11
Weipa,gambierdiscus sp,11
Weipa,gambierdiscus spp,11
Mackay,bacteriastrum elongatum,10
Mackay,ethmodiscus rex,10
Mackay,fragilaria sp,10
Mackay,melosira sp,10
Weipa,ditylum sp,10
Weipa,hemidiscus cuneiformis,10
Weipa,navicula spp,10
Bowen,navicula spp,9
Bowen,thalassionema frauenfeldii,9
Mackay,gambierdiscus sp,9
Mackay,pyrocystis spp,9
Weipa,guinardia sp,9
Weipa,skeletonema spp,9
