taxa_clean,n
rhizosolenia spp,167
chaetoceros spp,161
thalassionema nitzschioides,125
bacteriastrum hyalinum,117
odontella sinensis,101
bacteriastrum delicatulum,89
guinardia sp,88
trichodesmium spp,86
hillea sp,81
chlamydomonas sp,76
pleurosigma sp,72
azpeitia spp,70
thalassionema frauenfeldii,59
ditylum sp,52
trichodesmium sp,50
odontella aurita,47
guinardia spp,45
navicula spp,44
bacteriastrum furcatum,43
dinophysis caudata,38
gambierdiscus spp,36
chlamydomonas spp,32
skeletonema spp,29
eucampia sp,28
azpeitia sp,27
eucampia spp,27
gambierdiscus sp,26
ethmodiscus rex,25
lithodesmium spp,24
odontella mobiliensis,22
phormidium sp,22
bacillaria sp,21
chaetoceros peruvianus,21
melosira sp,21
pyrocystis spp,21
micromonas pusilla,19
pseudo-nitzschia sp,18
navicula sp,16
pleurosigma spp,15
prorocentrum sp,15
melosira spp,12
pseudo-nitzschia spp,12
bacteriastrum elongatum,11
bellerochea sp,11
gonyaulax sp,11
hemidiscus cuneiformis,11
fragilaria sp,10
asteromphalus spp,9
bodo sp,9
leptocylindrus spp,9
actinomonas mirabilis,8
bacteriastrum spp,8
bellerochea horologicales,8
hemiselmis sp,8
asteromphalus sp,7
chaetoceras peruvianus,7
lithodesmium sp,7
phormidium spp,7
biddulphia sp,6
cryptomonas sp,6
delphineis surirella,6
hemiaulus spp,6
nitzschia sp,6
bacillaria spp,5
chaetoceros simplex,5
hemiselmis spp,5
pyrocystis lunula,5
skeletonema sp,5
tetraselmis sp,5
asterionellopsis glacialis,4
carteria sp,4
coscinodiscus spp,4
dactyliosolen spp,4
synechococcus sp,4
thalassiosira sp,4
arthrospira spp,3
bellerochea spp,3
climacodium frauenfeldianum,3
cylindrotheca closterium,3
fragilariopsis kerguelensis,3
haslea spp,3
helicotheca tamesis,3
thalassiothrix spp,3
chaetoceros sp,2
climacodium frauenfeldiantum,2
dinophysis acuminata,2
fragilaria spp,2
gonyaulax spp,2
lyngbya sp,2
odontella spp,2
phalacroma spp,2
borzia sp,1
cerataulina pelagica,1
coscinodiscus sp,1
cymbella spp,1
dinophysis miles f. miles,1
ditylum,1
gymnodinium sp,1
gyrosigma spp,1
komvophoron sp,1
nitzschia spp,1
phaeocystis spp,1
planktoniella sol,1
planktothrix spp,1
podolampas spp,1
prorocentrum spp,1
tetraselmis spp,1
thalassiosira hyalina,1
thalassiosira spp,1
