region,taxa_clean,n
Mackay,acartia pacifica,85
Mackay,gastropoda,69
Mackay,gammaridea,52
Mackay,dictyocysta sp,46
Mackay,penaeus spp,46
Bowen,acartia pacifica,41
Mackay,portunidae,40
Mackay,calanopia elliptica,38
Mackay,siphonophorae,38
Mackay,oikopleura dioica,32
Mackay,bathyporeia spp,30
Mackay,lucifer penicillifer,29
Mackay,favella serrata,28
Bowen,gastropoda,27
Mackay,echinoidea,24
Mackay,salpa sp,24
Weipa,acartia pacifica,22
Bowen,dictyocysta sp,21
Bowen,favella serrata,21
Mackay,penaeus sp,21
Bowen,gammaridea,19
Bowen,oikopleura dioica,18
Bowen,penaeus spp,17
Bowen,siphonophorae,17
Mackay,microsetella rosea,17
Bowen,calanopia elliptica,16
Mackay,bolinopsis sp,16
Bowen,bathyporeia spp,15
Bowen,echinoidea,15
Bowen,acanthometra spp,13
Bowen,portunidae,13
Mackay,acanthometra sp,13
Mackay,porcellanidae sp,13
Weipa,portunidae,13
Mackay,oithona sp,12
Mackay,tintinnopsis sp,12
Weipa,lucifer penicillifer,12
Bowen,bolinopsis sp,10
Bowen,penaeus sp,10
Mackay,acanthometra spp,10
Weipa,gammaridea,10
Bowen,acanthometra sp,9
Bowen,microsetella rosea,9
Weipa,dictyocysta sp,9
Weipa,gastropoda,9
Weipa,penaeus sp,9
Bowen,lucifer penicillifer,8
Bowen,oithona sp,8
Mackay,salpa spp,8
Weipa,favella serrata,7
Bowen,dictyocysta spp,6
Mackay,oncaea venusta,6
Weipa,calanopia elliptica,6
Weipa,oikopleura dioica,6
Weipa,penaeus spp,6
Mackay,bathyporeia sp,5
Weipa,dictyocysta spp,5
Weipa,siphonophorae,5
Bowen,oncaea venusta,4
Bowen,tintinnopsis sp,4
Weipa,acanthometra spp,4
Weipa,bathyporeia spp,4
Bowen,evadne spp,3
Bowen,salpa sp,3
Bowen,tintinnopsis spp,3
Mackay,caprella sp,3
Mackay,centropages furcatus,3
Mackay,stomatopoda,3
Weipa,acanthometra sp,3
Weipa,bolinopsis sp,3
Bowen,farranula sp,2
Bowen,polycheate,2
Bowen,porcellanidae sp,2
Bowen,salpa spp,2
Bowen,stomatopoda,2
Mackay,acrocalanus gibber,2
Mackay,caprella spp,2
Mackay,creseidae,2
Mackay,doliolum sp,2
Mackay,farranula sp,2
Mackay,pseudevadne sp,2
Mackay,thalia sp,2
Weipa,evadne spp,2
Weipa,microsetella rosea,2
Weipa,salpa spp,2
Bowen,acrocalanus gibber,1
Bowen,centropages furcatus,1
Bowen,panulirus sp,1
Bowen,porcellanidae spp,1
Mackay,astacidea,1
Mackay,cephalapoda,1
Mackay,farranula spp,1
Mackay,thecostraca,1
Weipa,creseidae,1
Weipa,echinoidea,1
Weipa,oithona sp,1
Weipa,oncaea venusta,1
Weipa,stomatopoda,1
