taxa_clean,n
acartia pacifica,148
gastropoda,105
gammaridea,81
dictyocysta sp,76
penaeus spp,69
portunidae,66
calanopia elliptica,60
siphonophorae,60
favella serrata,56
oikopleura dioica,56
bathyporeia spp,49
lucifer penicillifer,49
echinoidea,40
penaeus sp,40
bolinopsis sp,29
microsetella rosea,28
acanthometra spp,27
salpa sp,27
acanthometra sp,25
oithona sp,21
tintinnopsis sp,16
porcellanidae sp,15
salpa spp,12
dictyocysta spp,11
oncaea venusta,11
stomatopoda,6
bathyporeia sp,5
evadne spp,5
centropages furcatus,4
farranula sp,4
acrocalanus gibber,3
caprella sp,3
creseidae,3
tintinnopsis spp,3
caprella spp,2
doliolum sp,2
polycheate,2
pseudevadne sp,2
thalia sp,2
astacidea,1
cephalapoda,1
farranula spp,1
panulirus sp,1
porcellanidae spp,1
thecostraca,1
