sample_date,site_code,region,zoop_total,zoop_richness
2017-11-22,AP_AMB1,Bowen,158,12
2017-12-20,AP_AMB1,Bowen,168,16
2018-02-19,AP_AMB1,Bowen,26,6
2018-08-17,AP_AMB1,Bowen,342,14
2019-03-25,AP_AMB1,Bowen,83,13
2019-05-30,AP_AMB1,Bowen,101,12
2019-10-14,AP_AMB1,Bowen,57,10
2020-04-04,AP_AMB1,Bowen,25,8
2017-11-22,AP_AMB2,Bowen,257,15
2017-12-20,AP_AMB2,Bowen,238,13
2018-02-19,AP_AMB2,Bowen,46,8
2018-08-17,AP_AMB2,Bowen,40,8
2018-11-17,AP_AMB2,Bowen,45,9
2019-03-25,AP_AMB2,Bowen,19,5
2019-05-30,AP_AMB2,Bowen,10,4
2019-10-14,AP_AMB2,Bowen,24,6
2020-04-04,AP_AMB2,Bowen,23,8
2017-11-22,AP_AMB3,Bowen,49,11
2017-12-20,AP_AMB3,Bowen,25,5
2018-02-19,AP_AMB3,Bowen,33,9
2018-08-17,AP_AMB3,Bowen,277,11
2018-11-17,AP_AMB3,Bowen,99,10
2019-03-25,AP_AMB3,Bowen,67,11
2019-05-30,AP_AMB3,Bowen,43,10
2019-10-14,AP_AMB3,Bowen,92,9
2020-04-04,AP_AMB3,Bowen,31,8
2017-11-22,AP_AMB4,Bowen,129,11
2017-12-20,AP_AMB4,Bowen,127,8
2018-02-19,AP_AMB4,Bowen,55,10
2018-08-17,AP_AMB4,Bowen,21,8
2018-11-17,AP_AMB4,Bowen,161,12
2019-03-25,AP_AMB4,Bowen,17,7
2019-05-30,AP_AMB4,Bowen,33,8
2019-10-14,AP_AMB4,Bowen,14,5
2020-04-04,AP_AMB4,Bowen,31,8
2017-11-22,AP_AMB5,Bowen,576,15
2017-12-20,AP_AMB5,Bowen,108,13
2018-02-20,AP_AMB5,Bowen,30,8
2018-08-18,AP_AMB5,Bowen,42,10
2018-11-18,AP_AMB5,Bowen,17,4
2019-03-26,AP_AMB5,Bowen,52,11
2019-05-31,AP_AMB5,Bowen,76,13
2019-10-14,AP_AMB5,Bowen,86,12
2020-04-04,AP_AMB5,Bowen,51,6
2017-09-05,MKY_AMB1,Mackay,341,10
2017-10-22,MKY_AMB1,Mackay,115,11
2017-12-01,MKY_AMB1,Mackay,159,10
2018-01-31,MKY_AMB1,Mackay,16,5
2018-08-30,MKY_AMB1,Mackay,110,10
